time,open,high,low,close,Volume
2018-09-21,262.05334456,262.16957826,260.90888968,261.06982865,105597145
2018-09-24,260.48866015,260.63171701,259.62137794,260.20254643,53409645
2018-09-25,260.65854017,260.76583282,259.72268008,259.96113798,44370037
2018-09-26,260.10419484,261.29335499,258.76303678,259.1832663,79739674
2018-09-27,259.65714215,260.99830022,259.37996949,259.90749166,59249455
2018-09-28,259.2816179,260.43501383,259.24585368,259.93431482,70091385
2018-10-01,261.17712129,261.9102877,260.16678222,260.83736125,62078937
2018-10-02,260.68536334,261.39617711,260.30983908,260.68536334,47258227
2018-10-03,261.74040768,262.16063721,260.47077805,260.8284202,64694594
2018-10-04,260.34560329,260.39924962,257.19835237,258.78985994,111545910
2018-10-05,259.01338628,259.5319674,255.91084063,257.34140923,105961360
2018-10-08,256.65294809,257.69905138,255.26708476,257.34140923,87742172
2018-10-09,256.95694392,258.27127882,256.40259859,256.96588497,74338982
2018-10-10,256.45624491,256.52777334,248.4540018,248.82952605,214756170
2018-10-11,247.7387175,249.36598928,241.73032937,243.3486601,274840490
2018-10-12,247.46154483,247.74765855,243.52748118,246.72837842,183186492
2018-10-15,246.37073627,247.70295328,245.25310455,245.34251509,102263717
2018-10-16,247.30954692,251.0826716,246.83567107,250.70714734,118255834
2018-10-17,250.74291156,251.37772638,248.16788808,250.75185261,110625987
2018-10-18,249.81304197,250.41209257,245.85215515,247.13072584,134557525
2018-10-19,247.78342276,249.72363143,246.29920784,246.99661003,139901634
2018-10-22,247.66718907,247.989067,245.35145614,245.88791937,82415812
2018-10-23,242.25785154,245.76274462,240.16564496,244.63617184,146352719
2018-10-24,244.38582234,244.77028765,236.66969294,237.22403828,177806697
2018-10-25,239.06589535,243.02678217,238.03767417,241.47997987,138061545
2018-10-26,237.7605015,242.30255681,234.51489899,237.23297933,201574596
2018-10-29,240.33552499,241.63197778,232.33328187,235.91864443,160749101
2018-10-30,235.74876441,239.72753333,235.25700645,239.41459645,157115995
2018-10-31,241.98961993,244.2964118,241.51574408,241.97173782,128296325
2018-11-01,242.83902004,244.74346449,241.74821148,244.5467613,99495037
2018-11-02,245.65545197,246.08462255,241.04186823,243.0983106,122634107
2018-11-05,243.59006855,244.99381399,242.61549369,244.43946866,65622482
2018-11-06,244.37688128,246.14720993,244.31429391,245.98627096,60085894
2018-11-07,248.16788808,251.33302111,247.7387175,251.25255162,102752099
2018-11-08,250.44785678,251.44031375,249.652103,250.79655788,65584886
2018-11-09,249.48222298,249.66998511,246.93402266,248.34670915,98812561
2018-11-12,247.83706909,248.07847754,243.18772113,243.70630225,99673574
2018-11-13,244.17123705,246.16956256,242.52608316,243.25030851,98176610
2018-11-14,245.1279298,245.53027722,240.0225881,241.58727251,125335931
2018-11-15,240.31764288,244.57358447,238.73525518,244.10864967,135101437
2018-11-16,243.00890006,245.65545197,242.49031894,244.74346449,126668040
2018-11-19,244.13547283,244.43052761,239.68282806,240.6037566,103061706
2018-11-20,237.25980249,238.72613531,235.28382961,236.15111183,136021311
2018-11-21,237.70685518,238.86025112,236.94686561,236.95580667,75563743
2018-11-23,235.31065277,236.78002555,235.21230118,235.37324015,42807878
2018-11-26,237.63532675,239.39671434,237.24192039,239.173188,79981362
2018-11-27,238.13602576,239.97788283,237.52803411,239.97788283,75502441
2018-11-28,241.05080929,245.50345406,239.91279196,245.50345406,127629633
2018-11-29,244.72558238,246.37073627,243.5811275,244.96699083,82346420
2018-11-30,244.81499292,247.0234332,244.49311498,246.46014681,98204190
2018-12-03,250.5998547,250.70714734,248.11871228,249.72363143,103017719
2018-12-04,248.89211343,249.32128401,241.3190409,241.63197778,177986013
2018-12-06,237.7605015,241.38162827,234.6490148,241.26539458,204185411
2018-12-07,240.92563453,242.49925999,234.81889482,235.65935387,161018923
2018-12-10,235.4805328,237.08214375,231.23353226,236.10640656,151445885
2018-12-11,239.31624486,239.50400699,234.68477901,236.16005288,121504431
2018-12-12,239.14636484,240.51434606,237.26874355,237.34921303,97976706
2018-12-13,238.29696473,239.16424694,236.15111183,237.26874355,96662717
2018-12-14,235.11394959,236.07064234,232.33328187,232.88762721,116961071
2018-12-17,231.93093445,233.04856617,226.67806537,228.31874874,165492257
2018-12-18,229.96390263,230.63448166,226.45900955,228.06839923,134515094
2018-12-19,228.14886871,231.93093445,222.94517543,224.6529167,214992763
2018-12-20,223.40116917,224.97479463,218.74288016,220.99602571,252053377
2018-12-21,221.90023715,224.57124187,215.8207786,216.46829489,255345633
2018-12-24,214.9754101,216.59015386,210.68561464,210.74856762,147311588
2018-12-26,212.21447256,221.39661336,210.22695727,221.39661336,218485360
2018-12-27,218.1500386,223.29419584,214.90346384,223.09634364,186267342
2018-12-28,224.4543292,226.09110651,221.63943197,222.80855862,153100189
2018-12-31,224.43634264,225.0029194,222.55674673,224.76010079,144299370
2019-01-02,221.21674773,225.92023415,221.18976788,224.99392612,126925199
2019-01-03,223.24023615,223.54600773,219.13929961,219.62493683,144140692
2019-01-04,222.66466611,227.62895771,222.28694827,226.98144141,142628834
2019-01-07,227.25123987,230.18304976,226.35191168,228.77110451,103139100
2019-01-08,230.96546529,231.4061361,228.42935979,230.92049888,102512587
2019-01-09,231.63096814,232.8450612,230.39888853,231.9996927,95006554
2019-01-10,230.4618415,233.06989325,229.77835208,232.81808135,96823923
2019-01-11,231.73888753,232.93481415,231.15432421,232.90801417,73858110
2019-01-14,231.00143841,232.296471,230.59674073,231.48707563,70908227
2019-01-15,231.86479347,234.45485866,231.85580019,234.14009379,85208271
